stage,title,variant,payload_present,max_abs_error,mean_abs_error,cosine_similarity,allclose,top1_match_rate,prefill_max_abs_error,prefill_allclose,prefill_top1,decode_step_max_abs_error,decode_step_max_allclose,decode_step_max_top1,decode_max_abs_error_max,decode_top1_min,decode_allclose_all,token_match_rate,sequence_exact_match,logits_max_abs_error_max,logits_allclose_all,logits_top1_min,cache_max_key_error,cache_max_value_error,cache_allclose
1,Static Linear (mask + pad),use_pad=true,True,1.0658141036401503e-14,2.936019483090746e-15,1.0,True,,,,,,,,,,,,,,,,,,
1,Static Linear (mask + pad),use_pad=false,True,9.769962616701378e-15,2.615963001773025e-15,1.0,True,,,,,,,,,,,,,,,,,,
1-lora,LoRA Linear (independent low-rank branch),use_pad=true,True,2.708944180085382e-14,7.0403752272518716e-15,1.0,True,,,,,,,,,,,,,,,,,,
1-lora,LoRA Linear (independent low-rank branch),use_pad=false,True,1.9539925233402755e-14,4.477321291496139e-15,1.0,True,,,,,,,,,,,,,,,,,,
2,Tiny decoder-only Transformer (full sequence),use_pad=true,True,1.1102230246251565e-14,2.0620897192804346e-15,0.9999999999999999,True,1.0,,,,,,,,,,,,,,,,,
3-cache,Tiny Transformer prefill / decode / KV cache,use_pad=true,True,,,,,,9.242606680004428e-15,True,1.0,6.189493362285248e-15,True,1.0,,,,,,,,,6.696032617270475e-15,8.604228440844963e-15,True
3-gen,Tiny Transformer greedy generation,use_pad=true,True,,,,,,,,,,,,,,,1.0,1.0,,,,,,
4.6,GPT-2 single-block obfuscated wrapper,use_pad=true,True,2.384185791015625e-07,6.484333425760269e-08,1.0,True,,,,,,,,,,,,,,,,,,
4.6,GPT-2 single-block obfuscated wrapper,use_pad=false,True,4.76837158203125e-07,1.4988472685217857e-07,0.9999998807907104,True,,,,,,,,,,,,,,,,,,
4.7,GPT-2 multi-block full forward logits,use_pad=true,True,2.086162567138672e-07,7.085752429247805e-09,1.0,True,1.0,,,,,,,,,,,,,,,,,
4.7,GPT-2 multi-block full forward logits,use_pad=false,True,8.195638656616211e-08,3.7062866109494053e-09,1.0,True,1.0,,,,,,,,,,,,,,,,,
4.8,GPT-2 prefill / decode / KV cache,use_pad=true,True,,,,,,3.3527612686157227e-07,True,1.0,,,,2.7474015951156616e-07,1.0,True,,,,,,9.313225746154785e-09,1.1175870895385742e-08,True
4.8,GPT-2 prefill / decode / KV cache,use_pad=false,True,,,,,,1.0058283805847168e-07,True,1.0,,,,2.2351741790771484e-08,1.0,True,,,,,,2.3283064365386963e-09,7.450580596923828e-09,True
4.9,GPT-2 greedy generation,use_pad=true,True,,,,,,,,,,,,,,,1.0,1.0,2.2351741790771484e-08,True,1.0,4.190951585769653e-09,1.4901161193847656e-08,True
4.9,GPT-2 greedy generation,use_pad=false,True,,,,,,,,,,,,,,,1.0,1.0,6.705522537231445e-08,True,1.0,1.862645149230957e-09,4.6566128730773926e-09,True
