variant,kind,correctness_error,token_match_rate,loss_diff,boundary_calls,online_extra_matmul_count,local_runtime_ms,proxy_risk_level,supported_claim_type
plain_cpu,inference,0.0,1.0,0.0,0,0,0.008558599984098691,high,baseline
trusted_nonlinear_partition,inference,5.620504062164855e-16,1.0,6.938893903907228e-18,32,0,0.14833339996584982,needs_more_evaluation,tee_partition_baseline
fixed_permutation_only,inference,2.942091015256665e-15,1.0,4.163336342344337e-17,4,0,0.16578320000917302,high,risk_baseline
fresh_perm_only,inference,3.400058012914542e-15,1.0,1.3877787807814457e-17,4,0,0.16774159998931282,medium,partial_mitigation
full_mitigation_bundle,inference,3.5041414214731503e-15,1.0,0.0,16,0,0.15381700004581944,needs_more_evaluation,proxy_supported_main
full_bundle_masked_boundary,inference,2.8449465006019636e-15,1.0,0.0,4,0,0.14143339999463933,needs_more_evaluation,proxy_supported_ablation
full_bundle_masked_boundary_constant_time_proxy,inference,2.858824288409778e-15,1.0,6.938893903907228e-18,4,0,0.1406919999681122,low,proxy_supported_timing
lora_plain,lora,0.0,1.0,0.0,0,0,0.008316399998875568,high,lora_baseline
lora_masked_forward_backward,lora,2.6367796834847468e-15,1.0,0.0,2,0,0.14179160002640856,needs_more_evaluation,proxy_supported_lora
lora_rank_padded,lora,1.6833756610878936e-14,1.0,4.85722573273506e-17,2,0,0.191816799906519,needs_more_evaluation,proxy_supported_rank
